Time,Current_Generated_Packets_Number,Current_Arrived_Packets_Number,Current_Lost_Packets_Number,Current_Generated_Packets_Byte,Current_Arrived_Packets_Byte,Current_Lost_Packets_Byte,Current_Latency,Current_Covered_Users_Number,Current_Operational_Satellite_Number,Current_Hop_Count,Current_Load_Deviation,Total_Generated_Packets_Number,Total_Arrived_Packets_Number,Total_Lost_Packets_Number,Total_Generated_Packets_Byte,Total_Arrived_Packets_Byte,Total_Lost_Packets_Byte,Total_Latency,Total_Covered_Users_Number,Total_Operational_Satellite_Number,Total_Hop_Count,Total_Load_Deviation
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0
1,490.0,0.0,0.0,614650.0,0.0,0.0,0.0,498.0,1320.0,0.0,0.6803329060453208,980.0,0.0,0.0,1229300.0,0.0,0.0,0.0,996.0,1320.0,0.0,1.3606658120906416
2,1326.5,240.5,5.5,1655250.0,301850.0,7100.0,125.05671492658597,996.0,1320.0,10.656964656964657,1.4985747359889787,2653.0,481.0,11.0,3310500.0,603700.0,14200.0,125.05671492658597,996.0,1320.0,5126.0,1.6364836598873156
3,980.0,311.0,8.0,1219300.0,389700.0,9750.0,122.08518989862917,996.0,1320.0,10.0016077170418,1.5795535631931075,2940.0,622.0,16.0,3667900.0,779400.0,19500.0,122.08518989862918,996.0,1320.0,6221.0,1.5226234664988991
4,633.5,168.5,4.5,788250.0,210000.0,5350.0,105.83344614883829,996.0,1320.0,7.905044510385757,1.5056608100351268,3920.0,818.0,20.0,4887000.0,1023700.0,24900.0,117.11966123076164,996.0,1320.0,7790.0,1.4886981535713544
5,579.5,204.0,4.0,721150.0,254500.0,5150.0,103.59125463968758,996.0,1320.0,8.132352941176471,1.4840015045400148,4099.0,1030.0,24.0,5110200.0,1288400.0,29800.0,114.78587579263305,996.0,1320.0,9539.0,1.479304855508675
6,490.0,216.0,9.0,611350.0,269050.0,11200.0,133.32537644820758,995.5,1320.0,9.041666666666666,1.4643398196717556,4900.0,1250.0,38.0,6109700.0,1561800.0,47300.0,122.78159589524178,995.0,1320.0,11696.0,1.4493747838348363
7,527.5,259.5,9.5,659800.0,322100.0,11800.0,134.33505801879033,995.0,1320.0,9.830443159922929,1.439626929140608,5154.0,1549.0,43.0,6429800.0,1932600.0,53400.0,121.39232053991479,995.0,1320.0,14641.0,1.4298790744463796
8,490.0,308.0,8.5,611850.0,381900.0,10400.0,130.74973346085042,995.0,1320.0,10.48538961038961,1.4311070048026777,5880.0,1866.0,55.0,7333400.0,2325600.0,68100.0,125.40722373440386,995.0,1320.0,18155.0,1.4323349351589756
9,363.0,352.0,13.0,451800.0,441000.0,15800.0,148.5585714802058,995.0,1320.0,11.515625,1.4266677084180321,5880.0,2253.0,69.0,7333400.0,2814600.0,85000.0,129.9329592937531,995.0,1320.0,22748.0,1.4210004816770887
10,154.5,361.5,11.0,192950.0,452300.0,13550.0,154.2611894037282,995.0,1320.0,12.831258644536653,1.418521836183257,6189.0,2589.0,77.0,7719300.0,3230200.0,95200.0,133.47031616637943,995.0,1320.0,27432.0,1.4160431906894253
11,490.0,317.5,21.0,615250.0,394900.0,26150.0,193.40141208791744,994.5,1320.0,14.11968503937008,1.4177029710123716,6860.0,2888.0,111.0,8563900.0,3604400.0,137300.0,144.26044930430658,994.0,1320.0,31714.0,1.4193627513353182
12,335.5,316.5,25.0,422300.0,395450.0,31150.0,201.9238606871188,994.0,1320.0,14.074249605055293,1.4233720117307844,6860.0,3222.0,127.0,8563900.0,4021100.0,157500.0,147.4308330095162,994.0,1320.0,36341.0,1.4273812721262509
13,490.0,354.5,22.0,612500.0,441900.0,27600.0,187.1186028823689,994.0,1320.0,14.031029619181947,1.4198208506616528,7840.0,3597.0,155.0,9788900.0,4488200.0,192500.0,152.86177916685463,994.0,1320.0,41662.0,1.4122604291970546
