Time,Current_Generated_Packets_Number,Current_Arrived_Packets_Number,Current_Lost_Packets_Number,Current_Generated_Packets_Byte,Current_Arrived_Packets_Byte,Current_Lost_Packets_Byte,Current_Latency,Current_Covered_Users_Number,Current_Operational_Satellite_Number,Current_Hop_Count,Current_Load_Deviation,Total_Generated_Packets_Number,Total_Arrived_Packets_Number,Total_Lost_Packets_Number,Total_Generated_Packets_Byte,Total_Arrived_Packets_Byte,Total_Lost_Packets_Byte,Total_Latency,Total_Covered_Users_Number,Total_Operational_Satellite_Number,Total_Hop_Count,Total_Load_Deviation
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0
1,490.0,0.0,0.0,610300.0,0.0,0.0,0.0,498.0,1320.0,0.0,0.7007826873445533,980.0,0.0,0.0,1220600.0,0.0,0.0,0.0,996.0,1320.0,0.0,1.4015653746891066
2,1122.5,257.5,6.5,1397950.0,320700.0,7500.0,131.16870119510796,996.0,1320.0,11.285436893203883,1.5189114728973485,2245.0,515.0,13.0,2795900.0,641400.0,15000.0,131.16870119510796,996.0,1320.0,5812.0,1.6362575711055907
3,980.0,289.5,7.5,1219050.0,361450.0,8900.0,127.73408091181065,996.0,1320.0,10.796200345423143,1.58325699324226,2940.0,579.0,15.0,3658700.0,722900.0,17800.0,127.73408091181076,996.0,1320.0,6251.0,1.5302564153789295
4,837.0,87.0,4.0,1044350.0,109850.0,5400.0,113.92857706299897,996.0,1320.0,6.913793103448276,1.4954663672411073,3920.0,689.0,21.0,4886000.0,861100.0,25800.0,126.7494017696942,996.0,1320.0,7015.0,1.4606763191032852
5,490.0,158.5,11.5,613650.0,199350.0,14500.0,145.85855614543067,996.0,1320.0,8.066246056782335,1.463816900273629,3920.0,896.0,38.0,4886000.0,1121600.0,46800.0,134.33185562212216,996.0,1320.0,8808.0,1.4669574814439728
6,490.0,203.5,12.0,609600.0,254500.0,14600.0,136.63922236233222,995.5,1320.0,8.277641277641278,1.4629006859694014,4900.0,1096.0,45.0,6105200.0,1370100.0,55000.0,130.4851709856689,995.0,1320.0,10384.0,1.45884389049483
7,490.0,230.5,12.0,609600.0,286050.0,14800.0,138.15089828056966,995.0,1320.0,8.865509761388287,1.4508801692795266,4900.0,1357.0,62.0,6105200.0,1693700.0,76400.0,135.63716618543947,995.0,1320.0,12895.0,1.4429164480642234
8,460.5,256.0,12.0,575650.0,317050.0,14850.0,146.56175667001799,995.0,1320.0,10.166015625,1.4356853415161837,5821.0,1608.0,69.0,7256500.0,2004200.0,84700.0,135.62354303504952,995.0,1320.0,15589.0,1.428454234968144
9,490.0,281.0,10.5,612700.0,349050.0,12700.0,145.98436248570246,995.0,1320.0,11.080071174377224,1.4239960062693293,5880.0,1921.0,83.0,7330600.0,2394100.0,101800.0,138.6000144992199,995.0,1320.0,19138.0,1.4195377775705147
10,392.5,294.0,10.0,491500.0,367500.0,12650.0,148.11093178268507,995.0,1320.0,11.763605442176871,1.4186672358746715,6606.0,2196.0,89.0,8239500.0,2739200.0,110000.0,138.94622678059127,995.0,1320.0,22506.0,1.4177966941788285
11,490.0,334.0,22.5,614950.0,416450.0,28900.0,183.26230262450764,994.5,1320.0,12.863772455089821,1.4125657690529256,6860.0,2589.0,128.0,8560500.0,3227000.0,159600.0,150.32037203817097,994.0,1320.0,27731.0,1.4073348439270228
12,268.0,355.5,24.0,337000.0,441900.0,30100.0,185.34903317233628,994.0,1320.0,13.251758087201125,1.404945115656917,7142.0,2907.0,137.0,8913500.0,3623000.0,170200.0,150.51644033227797,994.0,1320.0,31928.0,1.4025553873868113
13,490.0,382.0,13.5,609750.0,475700.0,16200.0,166.6060135273311,994.0,1320.0,13.962041884816754,1.4025834730404267,7840.0,3353.0,155.0,9780000.0,4178400.0,192000.0,153.99253350280188,994.0,1320.0,38398.0,1.4026115586940424
14,349.0,395.0,21.5,433250.0,494250.0,25500.0,188.3661373682151,994.0,1320.0,14.69620253164557,1.4046284926271109,7840.0,3697.0,180.0,9780000.0,4611500.0,221200.0,158.64870693814206,994.0,1320.0,43538.0,1.406645426560179
15,141.0,404.5,20.5,175150.0,505900.0,24500.0,191.4906498758178,994.0,1320.0,15.330037082818293,1.4057911505888274,8122.0,4162.0,196.0,10130300.0,5190200.0,241000.0,161.3063010376949,994.0,1320.0,50800.0,1.4049368746174757
16,490.0,413.0,21.5,612200.0,513850.0,26750.0,196.1669092756671,994.0,1320.0,15.668280871670703,1.4063898030812765,8820.0,4523.0,223.0,11004400.0,5639200.0,274700.0,165.51834828481492,994.0,1320.0,56480.0,1.4078427315450772
17,460.5,371.0,21.5,572350.0,462100.0,27100.0,203.08833611271757,994.0,1320.0,15.978436657681941,1.4019123613140203,9043.0,4904.0,239.0,11275000.0,6114400.0,295200.0,167.68368729744464,994.0,1320.0,62656.0,1.3959819910829632
18,490.0,357.0,24.0,605950.0,445150.0,30100.0,211.71420896130664,994.0,1320.0,16.289915966386555,1.4031427458432577,9800.0,5237.0,271.0,12216300.0,6529500.0,334900.0,171.90927890127952,994.0,1320.0,68111.0,1.4103035006035525
19,484.0,360.0,21.0,605050.0,448100.0,26000.0,201.86547664054137,994.0,1320.0,15.977777777777778,1.4143978873763805,10011.0,5624.0,281.0,12485100.0,7010600.0,347200.0,172.0946142202962,994.0,1320.0,74160.0,1.4184922741492083
20,490.0,347.5,14.5,614600.0,433650.0,17950.0,187.8796561828503,994.0,1320.0,15.82589928057554,1.4169877239024566,10780.0,5932.0,300.0,13445500.0,7396800.0,370800.0,173.76463081909972,994.0,1320.0,79110.0,1.415483173655705
21,384.5,340.0,18.0,480200.0,424500.0,22350.0,198.06915026540355,994.0,1320.0,16.060294117647057,1.4110621308722884,10780.0,6304.0,317.0,13445500.0,7859600.0,391900.0,174.90352039886392,994.0,1320.0,85081.0,1.406641088088872
22,188.0,398.0,14.0,235550.0,494700.0,17400.0,186.7027584580806,994.0,1320.0,16.100502512562816,1.4031305390361655,11156.0,6728.0,328.0,13916600.0,8386200.0,405600.0,175.27554595154302,994.0,1320.0,91926.0,1.3996199899834587
23,490.0,384.0,12.5,613050.0,478350.0,15250.0,187.7858036920304,994.0,1320.0,16.421875,1.4010585229466286,11760.0,7072.0,342.0,14671600.0,8816300.0,422400.0,176.28140691781184,994.0,1320.0,97693.0,1.4024970559097987
24,302.0,367.0,18.0,377500.0,459900.0,21850.0,196.96284973130457,994.0,1320.0,16.256130790190735,1.4046265195482566,11760.0,7462.0,364.0,14671600.0,9306000.0,449300.0,177.40935938246758,994.0,1320.0,103858.0,1.4067559831867145
25,490.0,446.5,25.0,609450.0,557850.0,30750.0,200.76568294831466,994.0,1320.0,16.007838745800672,1.4045953227183094,12740.0,7965.0,392.0,15890500.0,9932000.0,483900.0,179.04420125749886,994.0,1320.0,111988.0,1.4024346622499047
26,490.0,593.0,21.0,609450.0,737650.0,26350.0,188.12242196993847,994.0,1320.0,16.04806070826307,1.4020223108534733,12740.0,8648.0,406.0,15890500.0,10781300.0,502000.0,178.8623791369868,994.0,1320.0,122891.0,1.4016099594570417
27,490.0,697.0,19.0,610950.0,868900.0,23950.0,178.91753734515774,994.0,1320.0,15.842898134863702,1.4040160616005122,13720.0,9359.0,430.0,17112400.0,11669800.0,531800.0,179.025672018305,994.0,1320.0,134073.0,1.4064221637439829
28,980.0,686.5,23.0,1218850.0,858800.0,28850.0,184.65213591588102,994.0,1320.0,16.04734158776402,1.4109517767251225,14700.0,10021.0,452.0,18328200.0,12498900.0,559700.0,179.64684059686,994.0,1320.0,144924.0,1.4154813897062621
29,980.0,668.0,17.0,1222900.0,834600.0,21350.0,176.35313913942522,994.0,1320.0,15.85179640718563,1.4191409353185498,15680.0,10695.0,464.0,19558200.0,13339000.0,574500.0,178.697562864791,994.0,1320.0,155251.0,1.4228004809308374
30,490.0,718.5,16.0,615000.0,895200.0,20300.0,171.7322956635623,994.0,1320.0,15.614474599860822,1.4245157652454719,15680.0,11458.0,484.0,19558200.0,14289300.0,600300.0,178.67326276173932,994.0,1320.0,167362.0,1.426231049560106
31,490.0,763.5,19.0,616300.0,952350.0,23850.0,181.93814566239593,994.0,1320.0,16.371971185330715,1.4275546450277368,16660.0,12222.0,502.0,20790800.0,15243700.0,622200.0,179.09614130539572,994.0,1320.0,180251.0,1.4288782404953677
32,980.0,751.0,14.0,1229550.0,938600.0,17100.0,178.2745337467583,994.0,1320.0,16.49733688415446,1.4267899882494937,17640.0,12960.0,512.0,22017300.0,16166500.0,634500.0,178.62797955264452,994.0,1320.0,192141.0,1.4247017360036196
33,490.0,710.0,12.0,613250.0,888000.0,15100.0,172.59189938341018,994.0,1320.0,15.986619718309859,1.4196973665849653,17640.0,13642.0,526.0,22017300.0,17019700.0,652400.0,178.4332301439503,994.0,1320.0,202952.0,1.4146929971663111
34,490.0,631.5,19.5,609900.0,789750.0,24400.0,186.00275345578814,994.0,1320.0,16.29057798891528,1.4161185465719939,18620.0,14223.0,551.0,23237100.0,17746000.0,683300.0,179.27790209372262,994.0,1320.0,212716.0,1.4175440959776766
35,980.0,648.5,20.0,1225550.0,810650.0,24450.0,185.60869402008007,994.0,1320.0,16.33538936006168,1.4175876622190424,19600.0,14939.0,566.0,24468400.0,18641000.0,701300.0,179.05197217570722,994.0,1320.0,224139.0,1.4176312284604082
36,980.0,711.0,15.5,1229300.0,890600.0,19200.0,174.07584804799907,994.0,1320.0,15.881856540084389,1.4257696378102835,20580.0,15645.0,582.0,25695700.0,19527200.0,721700.0,178.8120991401004,994.0,1320.0,235300.0,1.4339080471601586
37,554.5,671.0,17.0,695550.0,841050.0,21400.0,175.2537617918082,994.0,1320.0,15.629657228017884,1.4323269131940792,20709.0,16281.0,600.0,25859500.0,20323100.0,744100.0,178.74237336709163,994.0,1320.0,245114.0,1.4307457792279998
38,490.0,639.5,19.0,612650.0,798100.0,24000.0,180.01818477468265,994.0,1320.0,15.760750586395622,1.4274213577185988,21560.0,16924.0,620.0,26921000.0,21123400.0,769700.0,178.9026380582919,994.0,1320.0,255458.0,1.4240969362091978
