Time,Current_Generated_Packets_Number,Current_Arrived_Packets_Number,Current_Lost_Packets_Number,Current_Generated_Packets_Byte,Current_Arrived_Packets_Byte,Current_Lost_Packets_Byte,Current_Latency,Current_Covered_Users_Number,Current_Operational_Satellite_Number,Current_Hop_Count,Current_Load_Deviation,Total_Generated_Packets_Number,Total_Arrived_Packets_Number,Total_Lost_Packets_Number,Total_Generated_Packets_Byte,Total_Arrived_Packets_Byte,Total_Lost_Packets_Byte,Total_Latency,Total_Covered_Users_Number,Total_Operational_Satellite_Number,Total_Hop_Count,Total_Load_Deviation
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0
1,490.0,0.0,0.0,615950.0,0.0,0.0,0.0,498.0,1320.0,0.0,0.5065191472812286,980.0,0.0,0.0,1231900.0,0.0,0.0,0.0,996.0,1320.0,0.0,1.0130382945624572
2,980.0,177.5,4.0,1225250.0,223500.0,5150.0,139.7328196168437,996.0,1320.0,12.36338028169014,1.3232869629262212,1960.0,355.0,8.0,2450500.0,447000.0,10300.0,139.7328196168437,996.0,1320.0,4389.0,1.6335356312899851
3,980.0,311.5,7.0,1228100.0,388050.0,9050.0,122.09301117907114,996.0,1320.0,10.382022471910112,1.5837786675302623,2940.0,623.0,14.0,3688100.0,776100.0,18100.0,122.09301117907101,996.0,1320.0,6468.0,1.5340217037705393
4,980.0,332.0,8.0,1233850.0,414200.0,10450.0,104.5814854709868,996.0,1320.0,7.846385542168675,1.501049794701707,3920.0,1019.0,24.0,4918200.0,1275400.0,31200.0,116.81536303085817,996.0,1320.0,9599.0,1.4680778856328747
5,980.0,388.0,8.5,1230250.0,489550.0,11300.0,117.41389669449485,996.0,1320.0,9.105670103092784,1.45229242433729,4900.0,1399.0,31.0,6148600.0,1755200.0,40700.0,119.49822951035134,996.0,1320.0,13534.0,1.4365069630417058
6,980.0,479.0,5.5,1224650.0,603100.0,7350.0,123.88552947881513,995.5,1320.0,11.007306889352819,1.4363959963963393,5880.0,1977.0,35.0,7367500.0,2481600.0,45900.0,120.22042828337821,995.0,1320.0,20144.0,1.4362850297509728
7,490.0,613.5,12.0,609450.0,768050.0,15850.0,143.6335169677735,995.0,1320.0,12.667481662591687,1.4284623584637364,5880.0,2626.0,55.0,7367500.0,3291300.0,72400.0,130.7601633444563,995.0,1320.0,29077.0,1.4206396871765
8,490.0,684.5,23.0,614450.0,853450.0,30100.0,168.9414765295378,995.0,1320.0,14.37618699780862,1.4173116100308083,6860.0,3346.0,81.0,8596400.0,4188500.0,106100.0,140.33723110459673,995.0,1320.0,39825.0,1.4139835328851167
9,980.0,643.5,19.0,1226950.0,803650.0,24150.0,173.18457106887652,995.0,1320.0,15.257187257187256,1.4212871832559606,7840.0,3913.0,93.0,9821400.0,4898600.0,120700.0,144.79220034766564,995.0,1320.0,48713.0,1.4285908336268045
10,490.0,466.5,10.0,612500.0,583300.0,11950.0,169.94017955348892,995.0,1320.0,15.502679528403002,1.429571942148331,7840.0,4279.0,101.0,9821400.0,5355100.0,130000.0,146.77823792464127,995.0,1320.0,54289.0,1.4305530506698578
11,490.0,400.5,11.0,614350.0,500300.0,13700.0,174.38931012407843,994.5,1320.0,15.503121098626716,1.4286873983961814,8820.0,4714.0,115.0,11050100.0,5899200.0,148100.0,149.83639611200365,994.0,1320.0,61131.0,1.426821746122505
12,490.0,472.5,14.5,614350.0,590800.0,18350.0,180.94687211901473,994.0,1320.0,15.742857142857142,1.4269474097310249,8820.0,5224.0,130.0,11050100.0,6536700.0,166700.0,152.994197899486,994.0,1320.0,69166.0,1.427073073339545
13,490.0,388.0,18.5,611750.0,486300.0,23400.0,193.86254184689207,994.0,1320.0,15.574742268041238,1.421958078917395,9800.0,5490.0,152.0,12273600.0,6871800.0,194900.0,156.18046851229852,994.0,1320.0,73217.0,1.4168430844952449
14,490.0,324.5,26.5,611750.0,407750.0,34200.0,214.95060236218106,994.0,1320.0,15.314329738058552,1.415103148598103,9800.0,5873.0,183.0,12273600.0,7352200.0,235100.0,160.1760664484973,994.0,1320.0,79105.0,1.413363212700961
15,303.0,343.0,26.0,375100.0,430000.0,32850.0,210.5129555001613,994.0,1320.0,15.192419825072886,1.4129588621514726,10406.0,6176.0,204.0,13023800.0,7731800.0,260600.0,162.465323590205,994.0,1320.0,83639.0,1.4125545116019844
16,490.0,332.0,19.5,609500.0,415200.0,24200.0,197.3273320762329,994.0,1320.0,15.05421686746988,1.4058982180223365,10780.0,6537.0,222.0,13492600.0,8182600.0,283500.0,164.04014985377884,994.0,1320.0,89101.0,1.3992419244426886
17,629.5,350.5,14.0,792650.0,437050.0,17850.0,185.1503475305483,994.0,1320.0,15.529243937232525,1.4049441748544984,11665.0,6877.0,232.0,14609100.0,8605900.0,296300.0,164.7915836060317,994.0,1320.0,94525.0,1.4106464252663082
18,490.0,300.0,13.5,616600.0,375750.0,16900.0,190.61480362110387,994.0,1320.0,15.753333333333334,1.412992606352463,11760.0,7137.0,249.0,14725800.0,8934100.0,317300.0,166.29608106310934,994.0,1320.0,98553.0,1.4153387874386179
19,128.0,401.5,16.0,157200.0,508650.0,20000.0,181.84742099312555,994.0,1320.0,15.019925280199253,1.408511204080299,11921.0,7680.0,264.0,14923500.0,9623200.0,336300.0,166.58433589936354,994.0,1320.0,106586.0,1.40168362072198
20,490.0,589.0,20.5,608450.0,738700.0,25850.0,179.35412003901024,994.0,1320.0,15.206281833616298,1.4005609583102268,12740.0,8315.0,290.0,15942700.0,10411500.0,369000.0,168.14590668909761,994.0,1320.0,116466.0,1.3994382958984732
21,899.5,625.0,18.5,1122700.0,777650.0,23400.0,180.25376960228607,994.0,1320.0,15.8296,1.3991574397188167,13720.0,8930.0,301.0,17168900.0,11178500.0,383100.0,168.4901490480649,994.0,1320.0,126373.0,1.3988765835391601
22,618.5,642.0,16.5,772850.0,803900.0,20150.0,178.83573639191812,994.0,1320.0,15.97429906542056,1.4057647842071834,13977.0,9599.0,323.0,17488400.0,12019300.0,409300.0,169.56482482239906,994.0,1320.0,136977.0,1.4126529848752067
23,490.0,689.0,17.0,613850.0,862550.0,20550.0,178.10669695762553,994.0,1320.0,16.04934687953556,1.4158516478926626,14700.0,10312.0,335.0,18396600.0,12908400.0,424200.0,169.740592052315,994.0,1320.0,148525.0,1.4190503109101185
24,851.5,677.0,9.0,1064450.0,844550.0,11050.0,167.93550129551738,994.0,1320.0,15.999261447562777,1.414295940225844,15680.0,10953.0,341.0,19617300.0,13708400.0,431400.0,169.3668938963423,994.0,1320.0,158640.0,1.4095415695415696
25,618.5,682.0,11.0,770600.0,851000.0,13600.0,171.42766033504523,994.0,1320.0,16.244134897360702,1.4080329987472846,15937.0,11676.0,357.0,19937800.0,14610400.0,451400.0,169.9349140534669,994.0,1320.0,170682.0,1.4065244279529996
26,490.0,729.5,14.0,609650.0,911150.0,17450.0,174.83570523067547,994.0,1320.0,16.389993145990406,1.409341915903675,16660.0,12412.0,369.0,20836600.0,15530700.0,466300.0,170.0031604211958,994.0,1320.0,182553.0,1.4121594038543508
27,851.5,726.0,16.0,1062100.0,910400.0,19900.0,175.05277127064358,994.0,1320.0,15.912534435261708,1.4102261891957442,17640.0,13131.0,389.0,22062000.0,16434600.0,491200.0,170.49886188956077,994.0,1320.0,193835.0,1.4082929745371373
28,641.0,660.5,20.5,801950.0,825300.0,26050.0,182.9374043221741,994.0,1320.0,15.838758516275549,1.4062899056075215,17942.0,13733.0,410.0,22440500.0,17181300.0,518400.0,171.24875472177763,994.0,1320.0,203476.0,1.404286836677906
29,490.0,654.5,21.0,611600.0,814200.0,26650.0,183.08240982095876,994.0,1320.0,15.929717341482048,1.405354538979319,18620.0,14440.0,431.0,23285200.0,18063000.0,544500.0,171.6420515375548,994.0,1320.0,214687.0,1.4064222412807321
30,829.0,657.0,17.0,1037600.0,826050.0,20800.0,178.70138911051416,994.0,1320.0,15.943683409436835,1.4144164746568788,19600.0,15047.0,444.0,24515700.0,18833400.0,560000.0,171.89727006333214,994.0,1320.0,224426.0,1.4224107080330257
31,832.0,636.5,15.5,1043050.0,798100.0,18500.0,177.92747894898787,994.0,1320.0,16.00471327572663,1.4246339624018516,20284.0,15713.0,462.0,25371300.0,19659200.0,581500.0,172.1487716206784,994.0,1320.0,235061.0,1.4268572167706775
32,490.0,661.0,21.5,611400.0,820700.0,26900.0,182.36289123567633,994.0,1320.0,15.972768532526475,1.4252025843958198,20580.0,16369.0,487.0,25738500.0,20474800.0,613800.0,172.74477676125943,994.0,1320.0,245542.0,1.4235479520209622
33,638.0,645.0,26.5,797200.0,803400.0,33500.0,186.72202632866475,994.0,1320.0,15.699224806201551,1.416692092509097,21560.0,17003.0,515.0,26965700.0,21266000.0,648500.0,173.26601565954266,994.0,1320.0,255313.0,1.4098362329972316
34,980.0,635.0,20.5,1226600.0,794950.0,25100.0,178.47577227798124,994.0,1320.0,15.551181102362206,1.407177976242552,22540.0,17639.0,528.0,28191700.0,22064700.0,664000.0,173.15834725294334,994.0,1320.0,265292.0,1.4045197194878725
35,893.5,668.5,14.5,1111450.0,836400.0,17550.0,172.47475333152818,994.0,1320.0,15.836948391922213,1.4040712885104427,23347.0,18340.0,544.0,29188600.0,22938800.0,683600.0,173.20877861548095,994.0,1320.0,276487.0,1.4036228575330132
36,490.0,689.5,17.5,605750.0,860850.0,22300.0,175.9862780274331,994.0,1320.0,15.829586656997824,1.4052401446723515,23520.0,19018.0,563.0,29403200.0,23786400.0,708600.0,173.3625602203675,994.0,1320.0,287121.0,1.40685743181169
37,576.5,661.5,22.5,721200.0,826550.0,28350.0,184.30281567848235,994.0,1320.0,15.870748299319727,1.4061979932639144,24500.0,19663.0,589.0,30631000.0,24591900.0,740300.0,173.95816843881607,994.0,1320.0,297484.0,1.405538554716139
38,893.5,680.5,20.0,1117800.0,851500.0,24650.0,183.75339311084505,994.0,1320.0,16.260102865540045,1.405458363984607,25307.0,20379.0,603.0,31638800.0,25489400.0,757900.0,174.05637191036615,994.0,1320.0,309251.0,1.405378173253075
39,490.0,742.5,24.5,612350.0,930950.0,30350.0,188.55903781603712,994.0,1320.0,16.494949494949495,1.4066442577932494,25480.0,21148.0,638.0,31855700.0,26453800.0,801000.0,174.98624764677757,994.0,1320.0,321979.0,1.407910342333424
40,576.5,695.5,37.0,721650.0,867650.0,46400.0,202.68418761280975,994.0,1320.0,16.312724658519052,1.4092723019858173,26460.0,21770.0,677.0,33082100.0,27224700.0,850700.0,175.9247618958466,994.0,1320.0,331942.0,1.4106342616382108
41,980.0,607.0,33.0,1225700.0,755100.0,41700.0,200.97407183587524,994.0,1320.0,15.941515650741351,1.4069553591178503,27440.0,22362.0,704.0,34307100.0,27964000.0,884400.0,176.42838824168138,994.0,1320.0,341332.0,1.4032764565974898
42,893.5,634.0,25.5,1118550.0,791850.0,31650.0,188.06431648550506,994.0,1320.0,15.574921135646688,1.4087063050910202,28247.0,23038.0,728.0,35319200.0,28808400.0,914000.0,176.5985005352376,994.0,1320.0,351691.0,1.4141361535845507
43,490.0,672.5,24.0,615050.0,838550.0,30100.0,185.2264129755495,993.0,1320.0,15.807434944237919,1.4135972631336684,28420.0,23707.0,752.0,35537200.0,29641100.0,944600.0,176.92945731459002,992.0,1320.0,362593.0,1.413058372682786
44,576.5,673.0,24.0,722100.0,842150.0,30500.0,189.0084220885032,992.0,1320.0,16.37890044576523,1.4062081935345778,29400.0,24384.0,776.0,36763400.0,30492700.0,975000.0,177.2860772699445,992.0,1320.0,373737.0,1.3993580143863698
45,925.5,698.5,22.5,1156000.0,878950.0,28450.0,185.41085814929482,992.0,1320.0,16.266284896206155,1.404992835358016,30271.0,25104.0,797.0,37849200.0,31399000.0,1001500.0,177.40164680548367,992.0,1320.0,385317.0,1.410627656329662
46,490.0,727.0,21.5,611350.0,912300.0,27050.0,180.86018829119342,992.0,1320.0,15.993810178817057,1.4110795419872288,30380.0,25838.0,819.0,37986100.0,32317300.0,1029100.0,177.48679168637636,992.0,1320.0,396992.0,1.4115314276447959
47,544.5,689.5,23.0,681900.0,860200.0,28900.0,185.74076547563203,992.0,1320.0,16.25018129079043,1.4041055427456857,31360.0,26483.0,843.0,39213000.0,33119400.0,1059300.0,177.83651631089887,992.0,1320.0,407726.0,1.3966796578465752
