time,ids,ids_mode,satellite_id,source_ip,target_ip,target_port,ground_truth,detected,action,score,detail
101.39999999999638,S-IDS,signature,932,90.30.65.69,170.2.113.127,22,benign,0,benign_allowed,,None
101.39999999999638,S-IDS,signature,1029,28.227.26.128,134.85.4.127,22,benign,0,benign_allowed,,None
101.39999999999638,S-IDS,signature,1062,241.51.48.203,240.18.18.221,22,benign,0,benign_allowed,,None
101.49999999999638,S-IDS,signature,895,234.102.255.189,32.244.31.56,22,benign,0,benign_allowed,,None
101.49999999999638,S-IDS,signature,895,11.174.137.63,32.244.31.56,22,benign,0,benign_allowed,,None
101.49999999999638,S-IDS,signature,895,52.200.160.175,32.244.31.56,22,benign,0,benign_allowed,,None
101.54999999999637,S-IDS,signature,1257,242.226.134.109,135.253.157.241,22,benign,0,benign_allowed,,None
101.59999999999637,S-IDS,signature,997,26.163.100.118,157.145.247.170,22,benign,0,benign_allowed,,None
101.64999999999637,S-IDS,signature,473,222.87.190.237,157.120.187.12,22,benign,0,benign_allowed,,None
101.69999999999636,S-IDS,signature,797,239.179.248.128,133.20.199.206,22,benign,0,benign_allowed,,None
104.29999999999622,S-IDS,signature,997,61.78.202.191,157.145.247.170,22,malicious,0,malicious_executed,,None
104.29999999999622,S-IDS,signature,1030,216.209.155.112,107.32.125.15,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
104.39999999999621,S-IDS,signature,807,129.74.69.48,120.251.55.238,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
104.44999999999621,S-IDS,signature,1264,157.91.128.219,70.33.250.40,22,malicious,0,malicious_executed,,None
104.44999999999621,S-IDS,signature,266,18.84.239.174,157.156.24.48,22,malicious,0,malicious_executed,,None
104.4999999999962,S-IDS,signature,538,244.37.107.127,252.8.63.142,22,malicious,0,malicious_executed,,None
104.5499999999962,S-IDS,signature,895,118.90.249.191,32.244.31.56,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
104.5499999999962,S-IDS,signature,870,58.33.232.122,182.159.150.247,22,malicious,0,malicious_executed,,None
104.5499999999962,S-IDS,signature,1004,181.169.127.91,251.6.16.241,22,malicious,0,malicious_executed,,None
109.44999999999592,S-IDS,signature,762,136.180.59.60,182.214.226.210,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
109.44999999999592,S-IDS,signature,1192,1.92.42.173,188.114.249.182,22,malicious,0,malicious_executed,,None
109.44999999999592,S-IDS,signature,1035,14.143.216.224,208.105.217.226,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
109.44999999999592,S-IDS,signature,1167,250.19.107.214,152.210.52.91,22,malicious,0,malicious_executed,,None
109.44999999999592,S-IDS,signature,997,61.78.202.191,157.145.247.170,22,malicious,0,malicious_executed,,None
109.49999999999592,S-IDS,signature,1030,216.209.155.112,107.32.125.15,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
109.54999999999592,S-IDS,signature,1062,42.27.115.196,240.18.18.221,22,malicious,0,malicious_executed,,None
109.59999999999592,S-IDS,signature,807,129.74.69.48,120.251.55.238,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
109.64999999999591,S-IDS,signature,266,18.84.239.174,157.156.24.48,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
109.64999999999591,S-IDS,signature,1166,162.183.33.123,212.211.120.119,22,malicious,0,malicious_executed,,None
109.74999999999591,S-IDS,signature,893,240.247.193.97,46.96.250.224,22,malicious,0,malicious_executed,,None
109.74999999999591,S-IDS,signature,895,118.90.249.191,32.244.31.56,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
109.74999999999591,S-IDS,signature,870,58.33.232.122,182.159.150.247,22,malicious,0,malicious_executed,,None
109.74999999999591,S-IDS,signature,870,208.0.168.9,182.159.150.247,22,malicious,0,malicious_executed,,None
109.8499999999959,S-IDS,signature,1035,185.57.131.187,208.105.217.226,22,benign,0,benign_allowed,,None
109.8999999999959,S-IDS,signature,0,157.27.97.215,8.151.60.45,22,benign,0,benign_allowed,,None
109.8999999999959,S-IDS,signature,132,215.236.131.204,226.184.203.109,22,benign,0,benign_allowed,,None
109.8999999999959,S-IDS,signature,1068,50.235.40.18,81.204.169.167,22,benign,0,benign_allowed,,None
109.8999999999959,S-IDS,signature,1067,108.60.114.64,186.21.12.247,22,benign,0,benign_allowed,,None
109.9999999999959,S-IDS,signature,200,83.168.0.233,57.203.40.201,22,benign,0,benign_allowed,,None
109.9999999999959,S-IDS,signature,232,190.217.186.82,147.205.129.90,22,benign,0,benign_allowed,,None
110.04999999999589,S-IDS,signature,265,142.103.35.164,214.127.245.225,22,benign,0,benign_allowed,,None
110.04999999999589,S-IDS,signature,332,178.166.180.20,198.134.252.33,22,benign,0,benign_allowed,,None
110.04999999999589,S-IDS,signature,1166,205.201.167.210,212.211.120.119,22,benign,0,benign_allowed,,None
110.04999999999589,S-IDS,signature,1166,128.18.254.190,212.211.120.119,22,benign,0,benign_allowed,,None
110.09999999999589,S-IDS,signature,1003,234.222.39.103,236.239.200.205,22,benign,0,benign_allowed,,None
110.14999999999588,S-IDS,signature,269,88.97.254.191,211.190.177.34,22,benign,0,benign_allowed,,None
110.14999999999588,S-IDS,signature,301,11.235.20.165,70.41.39.95,22,benign,0,benign_allowed,,None
110.14999999999588,S-IDS,signature,870,192.74.123.231,182.159.150.247,22,benign,0,benign_allowed,,None
110.14999999999588,S-IDS,signature,4,222.14.159.40,98.247.206.99,22,benign,0,benign_allowed,,None
111.94999999999578,S-IDS,signature,374,252.254.22.19,45.198.238.188,22,benign,0,benign_allowed,,None
111.94999999999578,S-IDS,signature,374,223.230.9.4,45.198.238.188,22,benign,0,benign_allowed,,None
111.99999999999578,S-IDS,signature,932,202.221.123.10,170.2.113.127,22,benign,0,benign_allowed,,None
111.99999999999578,S-IDS,signature,1296,53.111.121.161,64.28.228.65,22,benign,0,benign_allowed,,None
111.99999999999578,S-IDS,signature,861,233.135.196.173,166.194.172.114,22,benign,0,benign_allowed,,None
112.09999999999577,S-IDS,signature,1030,65.53.125.131,107.32.125.15,22,benign,0,benign_allowed,,None
112.09999999999577,S-IDS,signature,1030,30.63.141.142,107.32.125.15,22,benign,0,benign_allowed,,None
112.14999999999577,S-IDS,signature,829,239.185.84.221,55.49.50.17,22,benign,0,benign_allowed,,None
115.39999999999559,S-IDS,signature,762,136.180.59.60,182.214.226.210,22,malicious,0,malicious_executed,,None
115.39999999999559,S-IDS,signature,1166,162.183.33.123,212.211.120.119,22,malicious,0,malicious_executed,,None
115.44999999999558,S-IDS,signature,0,85.150.253.85,8.151.60.45,22,malicious,0,malicious_executed,,None
115.44999999999558,S-IDS,signature,1192,1.92.42.173,188.114.249.182,22,malicious,0,malicious_executed,,None
115.49999999999558,S-IDS,signature,1232,195.61.47.221,165.253.33.136,22,malicious,0,malicious_executed,,None
115.54999999999558,S-IDS,signature,408,240.247.193.97,232.206.178.46,22,malicious,0,malicious_executed,,None
115.54999999999558,S-IDS,signature,538,244.37.107.127,252.8.63.142,22,malicious,0,malicious_executed,,None
115.54999999999558,S-IDS,signature,997,61.78.202.191,157.145.247.170,22,malicious,0,malicious_executed,,None
115.54999999999558,S-IDS,signature,1030,216.209.155.112,107.32.125.15,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
115.59999999999557,S-IDS,signature,1264,157.91.128.219,70.33.250.40,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
115.59999999999557,S-IDS,signature,807,129.74.69.48,120.251.55.238,22,malicious,0,malicious_executed,,None
115.64999999999557,S-IDS,signature,895,118.90.249.191,32.244.31.56,22,malicious,0,malicious_executed,,None
115.64999999999557,S-IDS,signature,1004,181.169.127.91,251.6.16.241,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
115.64999999999557,S-IDS,signature,1035,14.143.216.224,208.105.217.226,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
115.64999999999557,S-IDS,signature,1003,246.50.108.179,236.239.200.205,22,malicious,0,malicious_executed,,None
115.69999999999557,S-IDS,signature,870,208.0.168.9,182.159.150.247,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
120.5499999999953,S-IDS,signature,236,116.39.111.16,208.205.32.219,22,benign,0,benign_allowed,,None
120.5499999999953,S-IDS,signature,267,183.120.102.94,24.89.63.205,22,benign,0,benign_allowed,,None
120.5499999999953,S-IDS,signature,1232,52.188.2.100,165.253.33.136,22,benign,0,benign_allowed,,None
120.59999999999529,S-IDS,signature,807,28.15.28.148,120.251.55.238,22,benign,0,benign_allowed,,None
120.64999999999529,S-IDS,signature,301,52.43.225.169,70.41.39.95,22,benign,0,benign_allowed,,None
