Simulation_Time,Architecture,Event_Type,Cumulative_Samples,Entity_ID,Source_IP,Target_IP,Sample_Index,Label,Payload_Byte,Network_Counted_Byte
3.699999999999995,cl,sample_sent_checkpoint,1,0,121.247.112.123,10.10.10.10,20344,3,12293,12293
3.999999999999994,cl,sample_sent_checkpoint,1000,999,238.201.176.86,10.10.10.10,17465,0,12293,12293
4.549999999999992,cl,sample_sent_checkpoint,2000,999,238.201.176.86,10.10.10.10,37028,4,12293,12293
5.09999999999999,cl,sample_sent_checkpoint,3000,999,238.201.176.86,10.10.10.10,15456,1,12293,12293
5.249999999999989,cl,sample_received_checkpoint,1,171,61.170.115.105,10.10.10.10,34824,4,12293,12293
6.099999999999986,cl,sample_sent_checkpoint,4000,999,238.201.176.86,10.10.10.10,9644,8,12293,12293
6.999999999999983,cl,sample_sent_checkpoint,5000,999,238.201.176.86,10.10.10.10,23906,5,12293,12293
7.99999999999998,cl,sample_sent_checkpoint,6000,999,238.201.176.86,10.10.10.10,17713,4,12293,12293
8.899999999999991,cl,sample_sent_checkpoint,7000,999,238.201.176.86,10.10.10.10,7134,9,12293,12293
8.949999999999992,cl,sample_received_checkpoint,1000,789,133.48.133.192,10.10.10.10,19257,2,12293,12293
10.15000000000001,cl,sample_sent_checkpoint,8000,999,238.201.176.86,10.10.10.10,49843,7,12293,12293
11.450000000000028,cl,sample_sent_checkpoint,9000,999,238.201.176.86,10.10.10.10,39981,8,12293,12293
11.700000000000031,cl,sample_received_checkpoint,2000,321,175.89.215.193,10.10.10.10,38431,0,12293,12293
14.350000000000069,cl,sample_sent_checkpoint,10000,999,238.201.176.86,10.10.10.10,42278,9,12293,12293
15.550000000000086,cl,sample_received_checkpoint,3000,235,217.15.60.88,10.10.10.10,30308,5,12293,12293
15.950000000000092,cl,sample_sent_checkpoint,11000,999,238.201.176.86,10.10.10.10,11138,4,12293,12293
17.30000000000011,cl,sample_sent_checkpoint,12000,999,238.201.176.86,10.10.10.10,46384,4,12293,12293
17.35000000000011,cl,sample_received_checkpoint,4000,360,73.243.209.230,10.10.10.10,39499,2,12293,12293
20.80000000000016,cl,sample_sent_checkpoint,13000,999,238.201.176.86,10.10.10.10,11818,5,12293,12293
21.55000000000017,cl,sample_received_checkpoint,5000,859,63.252.233.177,10.10.10.10,46946,7,12293,12293
