Time,Current_Generated_Packets_Number,Current_Arrived_Packets_Number,Current_Lost_Packets_Number,Current_Generated_Packets_Byte,Current_Arrived_Packets_Byte,Current_Lost_Packets_Byte,Current_Latency,Current_Covered_Users_Number,Current_Operational_Satellite_Number,Current_Hop_Count,Current_Load_Deviation,Total_Generated_Packets_Number,Total_Arrived_Packets_Number,Total_Lost_Packets_Number,Total_Generated_Packets_Byte,Total_Arrived_Packets_Byte,Total_Lost_Packets_Byte,Total_Latency,Total_Covered_Users_Number,Total_Operational_Satellite_Number,Total_Hop_Count,Total_Load_Deviation
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,0.0
1,568.0,0.0,500.0,6982424.0,0.0,6146500.0,999.0,500.0,1584.0,0.0,0.8327020202020202,1136.0,0.0,1000.0,13964848.0,0.0,12293000.0,999.0,1000.0,1584.0,0.0,1.6654040404040404
2,1500.0,6.0,500.0,18439500.0,73758.0,6146500.0,989.9376431393619,1000.0,1584.0,4.166666666666667,1.6628787878787876,3000.0,12.0,1000.0,36879000.0,147516.0,12293000.0,989.9376431393621,1000.0,1584.0,50.0,1.660353535353535
3,1432.0,41.5,0.0,17603576.0,510159.5,0.0,336.46197408961206,1000.0,1584.0,6.024096385542169,1.6334555748568487,4000.0,83.0,1000.0,49172000.0,1020319.0,12293000.0,948.2237708674403,1000.0,1584.0,500.0,1.6065576143601623
4,1042.0,195.5,0.0,12809306.0,2403281.5,0.0,443.1299410251875,1000.0,1584.0,8.115089514066495,1.5880342378154784,5084.0,403.0,1000.0,62497612.0,4954079.0,12293000.0,837.5486114026246,1000.0,1584.0,3223.0,1.5695108612707942
5,1000.0,322.0,0.0,12293000.0,3958346.0,0.0,446.6582956818608,1000.0,1584.0,8.76552795031056,1.5465690622225479,6000.0,727.0,1000.0,73758000.0,8937011.0,12293000.0,761.1895114467605,1000.0,1584.0,6145.0,1.5236272631743015
6,958.0,329.0,0.0,11776694.0,4044397.0,0.0,443.58072785489753,1000.0,1584.0,9.838905775075988,1.5185664974238675,7000.0,1061.0,1000.0,86051000.0,13042873.0,12293000.0,711.7694423708901,1000.0,1584.0,9697.0,1.5135057316734335
7,1000.0,420.5,0.0,12293000.0,5169206.5,0.0,480.34635440309813,1000.0,1584.0,11.491082045184305,1.5084277229300287,8000.0,1568.0,1000.0,98344000.0,19275424.0,12293000.0,669.2155647669629,1000.0,1584.0,15809.0,1.5033497141866239
8,871.0,463.5,0.0,10707203.0,5697805.5,0.0,490.4599626016216,1000.0,1584.0,12.207119741100323,1.5076150301946196,8742.0,1988.0,1000.0,107465406.0,24438484.0,12293000.0,643.1101760569302,1000.0,1584.0,21013.0,1.5118803462026156
9,500.0,345.0,0.0,6146500.0,4241085.0,0.0,496.2111473163617,1000.0,1584.0,13.233333333333333,1.5004406269707864,9000.0,2258.0,1000.0,110637000.0,27757594.0,12293000.0,632.5755868538524,1000.0,1584.0,24940.0,1.4890009077389572
