Time,Current_Generated_Packets_Number,Current_Arrived_Packets_Number,Current_Lost_Packets_Number,Current_Generated_Packets_Byte,Current_Arrived_Packets_Byte,Current_Lost_Packets_Byte,Current_Latency,Current_Covered_Users_Number,Current_Operational_Satellite_Number,Current_Hop_Count,Current_Load_Deviation,Total_Generated_Packets_Number,Total_Arrived_Packets_Number,Total_Lost_Packets_Number,Total_Generated_Packets_Byte,Total_Arrived_Packets_Byte,Total_Lost_Packets_Byte,Total_Latency,Total_Covered_Users_Number,Total_Operational_Satellite_Number,Total_Hop_Count,Total_Load_Deviation
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1584.0,0.0,0.0
1,1310.0,0.0,0.0,10747152.5,0.0,0.0,0.0,500.5,1584.0,0.0,0.0,2620.0,0.0,0.0,21494305.0,0.0,0.0,0.0,1000.0,1584.0,0.0,0.0
2,1310.0,524.0,0.0,10747152.5,4298861.0,0.0,543.7859804310592,1000.0,1584.0,10.0,0.9974747474747475,2620.0,1048.0,0.0,21494305.0,8597722.0,0.0,543.7859804310592,1000.0,1584.0,10480.0,1.994949494949495
3,0.0,1310.0,0.0,0.0,10747152.5,0.0,520.0611094754928,1000.0,1584.0,17.4,0.9974747474747475,2620.0,2620.0,0.0,21494305.0,21494305.0,0.0,520.0611094754922,1000.0,1584.0,45588.0,0.0
4,0.0,786.0,0.0,0.0,6448291.5,0.0,504.2445288384485,1000.0,1584.0,22.333333333333332,0.0,2620.0,2620.0,0.0,21494305.0,21494305.0,0.0,520.0611094754922,1000.0,1584.0,45588.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1584.0,0.0,0.0,2620.0,2620.0,0.0,21494305.0,21494305.0,0.0,520.0611094754922,1000.0,1584.0,45588.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1584.0,0.0,0.0,2620.0,2620.0,0.0,21494305.0,21494305.0,0.0,520.0611094754922,1000.0,1584.0,45588.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1584.0,0.0,0.0,2620.0,2620.0,0.0,21494305.0,21494305.0,0.0,520.0611094754922,1000.0,1584.0,45588.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1584.0,0.0,0.0,2620.0,2620.0,0.0,21494305.0,21494305.0,0.0,520.0611094754922,1000.0,1584.0,45588.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1584.0,0.0,0.0,2620.0,2620.0,0.0,21494305.0,21494305.0,0.0,520.0611094754922,1000.0,1584.0,45588.0,0.0
