mode,seed,bin_start,bin_end,bin_center,generated_packets,delivered_packets,delivery_ratio,average_hop_count
centralized,20260811,0.0,5.0,2.5,0,0,,
centralized,20260811,5.0,10.0,7.5,492,491,0.9979674796747967,8.232179226069247
centralized,20260811,10.0,15.0,12.5,488,487,0.9979508196721312,8.293634496919918
centralized,20260811,15.0,20.0,17.5,513,513,1.0,8.196881091617934
centralized,20260811,20.0,25.0,22.5,493,493,1.0,7.9574036511156185
centralized,20260811,25.0,30.0,27.5,505,505,1.0,7.758415841584158
centralized,20260811,30.0,35.0,32.5,497,497,1.0,7.245472837022133
centralized,20260811,35.0,40.0,37.5,506,506,1.0,7.252964426877471
centralized,20260811,40.0,45.0,42.5,488,488,1.0,7.262295081967213
centralized,20260811,45.0,50.0,47.5,502,502,1.0,7.468127490039841
centralized,20260811,50.0,55.0,52.5,502,500,0.9960159362549801,8.834
centralized,20260811,55.0,60.0,57.5,495,495,1.0,8.741414141414142
centralized,20260811,60.0,65.0,62.5,499,495,0.9919839679358717,8.404040404040405
centralized,20260811,65.0,70.0,67.5,512,508,0.9921875,8.279527559055119
centralized,20260811,70.0,75.0,72.5,490,484,0.9877551020408163,7.940082644628099
centralized,20260811,75.0,80.0,77.5,513,510,0.9941520467836257,8.188235294117646
centralized,20260811,80.0,85.0,82.5,497,495,0.9959758551307847,8.204040404040404
centralized,20260811,85.0,90.0,87.5,496,494,0.9959677419354839,8.012145748987853
centralized,20260811,90.0,95.0,92.5,508,501,0.9862204724409449,7.810379241516966
centralized,20260811,95.0,100.0,97.5,492,485,0.9857723577235772,7.645360824742268
centralized,20260811,100.0,105.0,102.5,503,498,0.9900596421471173,7.514056224899599
centralized,20260811,105.0,110.0,107.5,491,259,0.5274949083503055,8.003861003861005
centralized,20260811,110.0,115.0,112.5,508,253,0.49803149606299213,8.450592885375494
centralized,20260811,115.0,120.0,117.5,506,253,0.5,9.055335968379447
centralized,20260811,120.0,125.0,122.5,495,239,0.48282828282828283,8.903765690376568
centralized,20260811,125.0,130.0,127.5,495,219,0.44242424242424244,8.963470319634704
centralized,20260811,130.0,135.0,132.5,506,180,0.3557312252964427,7.7
centralized,20260811,135.0,140.0,137.5,488,164,0.3360655737704918,7.0
centralized,20260811,140.0,145.0,142.5,508,181,0.3562992125984252,7.0
centralized,20260811,145.0,150.0,147.5,503,193,0.3836978131212724,6.989637305699482
centralized,20260811,150.0,155.0,152.5,498,495,0.9939759036144579,8.434343434343434
centralized,20260811,155.0,160.0,157.5,507,507,1.0,8.499013806706115
centralized,20260811,160.0,165.0,162.5,492,492,1.0,8.272357723577235
centralized,20260811,165.0,170.0,167.5,490,490,1.0,8.071428571428571
centralized,20260811,170.0,175.0,172.5,514,514,1.0,7.904669260700389
centralized,20260811,175.0,180.0,177.5,504,504,1.0,7.7063492063492065
centralized,20260811,180.0,185.0,182.5,492,492,1.0,7.5528455284552845
centralized,20260811,185.0,190.0,187.5,508,508,1.0,7.5984251968503935
centralized,20260811,190.0,195.0,192.5,480,480,1.0,7.766666666666667
centralized,20260811,195.0,200.0,197.5,444,428,0.963963963963964,7.757009345794392
distributed,20260811,0.0,5.0,2.5,0,0,,
distributed,20260811,5.0,10.0,7.5,480,480,1.0,8.252083333333333
distributed,20260811,10.0,15.0,12.5,516,516,1.0,8.30813953488372
distributed,20260811,15.0,20.0,17.5,500,500,1.0,8.212
distributed,20260811,20.0,25.0,22.5,496,496,1.0,7.943548387096774
distributed,20260811,25.0,30.0,27.5,488,488,1.0,7.776639344262295
distributed,20260811,30.0,35.0,32.5,512,512,1.0,7.255859375
distributed,20260811,35.0,40.0,37.5,488,488,1.0,7.25
distributed,20260811,40.0,45.0,42.5,512,512,1.0,7.265625
distributed,20260811,45.0,50.0,47.5,488,488,1.0,7.469262295081967
distributed,20260811,50.0,55.0,52.5,515,515,1.0,9.137864077669903
distributed,20260811,55.0,60.0,57.5,487,487,1.0,8.794661190965092
distributed,20260811,60.0,65.0,62.5,514,514,1.0,8.519455252918288
distributed,20260811,65.0,70.0,67.5,492,492,1.0,8.308943089430894
distributed,20260811,70.0,75.0,72.5,491,491,1.0,8.19755600814664
distributed,20260811,75.0,80.0,77.5,512,512,1.0,8.25
distributed,20260811,80.0,85.0,82.5,495,495,1.0,8.404040404040405
distributed,20260811,85.0,90.0,87.5,509,509,1.0,8.163064833005894
distributed,20260811,90.0,95.0,92.5,485,485,1.0,8.111340206185567
distributed,20260811,95.0,100.0,97.5,516,516,1.0,7.825581395348837
distributed,20260811,100.0,105.0,102.5,495,495,1.0,7.725252525252525
distributed,20260811,105.0,110.0,107.5,505,420,0.8316831683168316,8.483333333333333
distributed,20260811,110.0,115.0,112.5,482,482,1.0,8.809128630705395
distributed,20260811,115.0,120.0,117.5,506,506,1.0,9.011857707509881
distributed,20260811,120.0,125.0,122.5,508,508,1.0,9.068897637795276
distributed,20260811,125.0,130.0,127.5,491,491,1.0,9.09775967413442
distributed,20260811,130.0,135.0,132.5,505,504,0.998019801980198,9.027777777777779
distributed,20260811,135.0,140.0,137.5,503,503,1.0,8.262425447316103
distributed,20260811,140.0,145.0,142.5,489,489,1.0,8.231083844580777
distributed,20260811,145.0,150.0,147.5,509,509,1.0,8.206286836935167
distributed,20260811,150.0,155.0,152.5,507,507,1.0,8.3767258382643
distributed,20260811,155.0,160.0,157.5,488,488,1.0,8.487704918032787
distributed,20260811,160.0,165.0,162.5,510,510,1.0,8.190196078431372
distributed,20260811,165.0,170.0,167.5,488,488,1.0,8.05327868852459
distributed,20260811,170.0,175.0,172.5,505,505,1.0,7.889108910891089
distributed,20260811,175.0,180.0,177.5,507,507,1.0,7.714003944773175
distributed,20260811,180.0,185.0,182.5,490,490,1.0,7.563265306122449
distributed,20260811,185.0,190.0,187.5,508,508,1.0,7.570866141732283
distributed,20260811,190.0,195.0,192.5,492,492,1.0,7.784552845528455
distributed,20260811,195.0,200.0,197.5,429,423,0.986013986013986,7.7706855791962175
centralized,20260812,0.0,5.0,2.5,0,0,,
centralized,20260812,5.0,10.0,7.5,488,488,1.0,8.258196721311476
centralized,20260812,10.0,15.0,12.5,508,508,1.0,8.220472440944881
centralized,20260812,15.0,20.0,17.5,488,488,1.0,8.23360655737705
