Time,Current_Generated_Packets_Number,Current_Arrived_Packets_Number,Current_Lost_Packets_Number,Current_Generated_Packets_Byte,Current_Arrived_Packets_Byte,Current_Lost_Packets_Byte,Current_Latency,Current_Covered_Users_Number,Current_Operational_Satellite_Number,Current_Hop_Count,Current_Load_Deviation,Total_Generated_Packets_Number,Total_Arrived_Packets_Number,Total_Lost_Packets_Number,Total_Generated_Packets_Byte,Total_Arrived_Packets_Byte,Total_Lost_Packets_Byte,Total_Latency,Total_Covered_Users_Number,Total_Operational_Satellite_Number,Total_Hop_Count,Total_Load_Deviation
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
5,24.5,24.5,0.0,29400.0,29400.0,0.0,77.41758682930019,200.0,400.0,8.224489795918368,0.995,49.0,49.0,0.0,58800.0,58800.0,0.0,77.41758682930019,200.0,400.0,403.0,1.99
6,73.0,68.0,0.0,87600.0,81600.0,0.0,77.61162758956728,200.0,400.0,8.25,0.995,146.0,136.0,0.0,175200.0,163200.0,0.0,77.61162758956732,200.0,400.0,1122.0,0.0
7,101.0,101.0,0.0,121200.0,121200.0,0.0,77.30089996355298,200.0,400.0,8.222772277227723,0.9924999999999999,251.0,251.0,0.0,301200.0,301200.0,0.0,77.32367947120883,200.0,400.0,2064.0,1.9849999999999999
8,95.5,101.0,0.0,114600.0,121200.0,0.0,77.31165201893822,200.0,400.0,8.222772277227723,0.9924999999999999,338.0,338.0,0.0,405600.0,405600.0,0.0,77.43235224854047,200.0,400.0,2783.0,0.0
9,98.5,98.0,0.5,118200.0,117600.0,600.0,82.58978118410023,200.0,400.0,8.275510204081632,0.9924999999999999,448.0,447.0,1.0,537600.0,536400.0,1200.0,79.63935366192227,200.0,400.0,3686.0,1.9849999999999999
