Time,Current_Generated_Packets_Number,Current_Arrived_Packets_Number,Current_Lost_Packets_Number,Current_Generated_Packets_Byte,Current_Arrived_Packets_Byte,Current_Lost_Packets_Byte,Current_Latency,Current_Covered_Users_Number,Current_Operational_Satellite_Number,Current_Hop_Count,Current_Load_Deviation,Total_Generated_Packets_Number,Total_Arrived_Packets_Number,Total_Lost_Packets_Number,Total_Generated_Packets_Byte,Total_Arrived_Packets_Byte,Total_Lost_Packets_Byte,Total_Latency,Total_Covered_Users_Number,Total_Operational_Satellite_Number,Total_Hop_Count,Total_Load_Deviation
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0
5,18.0,18.0,0.0,21600.0,21600.0,0.0,74.75129466205509,200.0,400.0,8.0,0.995,36.0,36.0,0.0,43200.0,43200.0,0.0,74.75129466205509,200.0,400.0,288.0,1.99
6,76.5,76.5,0.0,91800.0,91800.0,0.0,77.25520691348103,200.0,400.0,8.222222222222221,1.9925000000000002,153.0,153.0,0.0,183600.0,183600.0,0.0,77.25520691348106,200.0,400.0,1258.0,1.995
7,102.0,102.0,0.0,122400.0,122400.0,0.0,77.69524734130289,200.0,400.0,8.27450980392157,0.9975,240.0,240.0,0.0,288000.0,288000.0,0.0,77.25365443941573,200.0,400.0,1976.0,0.0
8,99.5,99.5,0.0,119400.0,119400.0,0.0,77.48781878997421,200.0,400.0,8.251256281407036,0.0,352.0,352.0,0.0,422400.0,422400.0,0.0,77.38671192320302,200.0,400.0,2900.0,0.0
9,99.5,99.0,0.0,119400.0,118800.0,0.0,77.26840170559672,200.0,400.0,8.222222222222221,0.0,439.0,438.0,0.0,526800.0,525600.0,0.0,77.26032101179891,200.0,400.0,3604.0,0.0
